created_at,data.adjectives_bikes.0,data.adjectives_bikes.1,data.adjectives_bikes.2,data.adjectives_motors.0,data.adjectives_motors.1,data.adjectives_motors.2,data.adjectives_pubs.0,data.adjectives_pubs.1,data.adjectives_pubs.2,data.constraints.0,data.constraints.1,data.constraints.2,data.constraints.3,data.employment_rate,data.equipments.0,data.equipments.1,data.equipments.2,data.equipments.3,data.equipments.4,data.equipments.5,data.equipments.6,data.freq_mod_bike,data.freq_mod_car,data.freq_mod_combined,data.freq_mod_moto,data.freq_mod_pro_inter_car,data.freq_mod_pro_inter_combined,data.freq_mod_pro_inter_plane,data.freq_mod_pro_inter_train,data.freq_mod_pro_local_bike,data.freq_mod_pro_local_car,data.freq_mod_pro_local_combined,data.freq_mod_pro_local_moto,data.freq_mod_pro_local_pub,data.freq_mod_pro_local_train,data.freq_mod_pro_local_walking,data.freq_mod_pro_region_car,data.freq_mod_pro_region_combined,data.freq_mod_pro_region_moto,data.freq_mod_pro_region_plane,data.freq_mod_pro_region_pub,data.freq_mod_pro_region_train,data.freq_mod_pub,data.freq_mod_train,data.freq_mod_walking,data.freq_trav_pro_inter,data.freq_trav_pro_local,data.freq_trav_pro_region,data.importance_comfort,data.importance_cost,data.importance_env,data.importance_flex,data.importance_most,data.importance_rel,data.importance_time,data.needs_bike,data.needs_car,data.needs_moto,data.needs_pub,data.needs_train,data.needs_walking,data.trav_pro.0,data.trav_pro.1,data.trav_pro.2,data.travel_time,typo.reco.reco_dt2.0,typo.reco.reco_dt2.1,updated_at
2025-03-17T15:21:25.620376,practical,ecological,autonomous,dangerous,polluting,tiring,ecological,safe,practical,dependent,,,,80,train_subs,upt_subs,eab,,,,,0,0,TRUE,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,2,2,0,0,2,1,3,3,5,4,1,5,5,3,1,2,5,5,1,,,,50,tpu,elec,2025-03-17T15:34:45.702497
2025-03-17T15:44:26.283238,dangerous,unpleasant,healthy,polluting,reliable,autonomous,slow,impractical,congested,heavy,dependent,,,100,car_driver,upt_subs,car_passenger,,,,,2,5,FALSE,0,2,TRUE,2,1,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,2,1,1,5,4,2,3,5,5,5,3,5,2,1,1,1,,,,30,covoit,elec,2025-03-17T15:50:41.192705
2025-03-18T07:53:04.810572,autonomous,healthy,reliable,expensive,polluting,congested,ecological,safe,,dependent,,,,80,bike,eab,,,,,,4,0,FALSE,0,0,FALSE,0,0,0,0,TRUE,0,2,5,5,0,FALSE,0,0,0,0,0,1,2,0,5,0,1,4,3,5,1,5,5,5,1,1,4,1,1,,,,20,vae,elec,2025-03-18T08:01:17.055689
2025-03-18T10:14:26.270481,,,,,,,,,,dependent,,,,100,bike,,,,,,,0,0,FALSE,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,35,,,2025-03-18T10:16:01.344954
2025-03-18T10:20:53.585816,fast,practical,pleasant,impractical,fast,constraining,practical,cheap,reliable,,,,,100,eab,upt_subs,,,,,,0,0,FALSE,0,0,TRUE,1,1,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,1,0,0,1,0,0,3,3,3,3,1,4,4,5,3,1,5,1,1,,,,25,velo,vae,2025-03-18T19:21:08.653311
2025-03-18T10:41:20.159186,,,,,,,,,,,,,,100,,,,,,,,0,0,FALSE,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,0,,,2025-03-18T10:43:28.347711
2025-03-18T17:00:36.907651,ecological,relax,healthy,expensive,polluting,constraining,practical,ecological,reliable,,,,,80,bike,eab,upt_subs,train_subs,car_driver,,,3,1,TRUE,0,0,FALSE,0,2,5,2,TRUE,0,10,10,5,0,TRUE,0,0,4,4,3,2,2,2,6,3,5,3,5,4,5,4,2,5,3,1,5,5,3,,,,90,inter,covoit,2025-03-18T17:07:04.700361
2025-03-19T09:20:11.346761,practical,ecological,healthy,polluting,dangerous,tiring,fast,expensive,ecological,,,,,0,bike,upt_subs,train_subs,mob_subs,,,,1,0,TRUE,0,0,FALSE,0,0,5,0,TRUE,0,5,5,0,0,TRUE,0,0,5,5,1,1,0,0,5,5,4,4,5,4,5,4,2,5,1,1,5,1,5,,,,70,tpu,train,2025-03-19T09:27:39.315236
2025-03-19T12:16:35.213084,fast,cheap,practical,,,,,,,dependent,heavy,night,disabled,100,train_subs,,,,,,,0,2,TRUE,0,5,FALSE,10,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,5,0,10,0,0,1,3,1,3,1,3,1,3,5,5,5,5,1,,,,0,inter,elec,2025-03-19T13:06:14.269147
2025-03-19T13:29:41.705210,,,,,,,,,,,,,,100,upt_subs,,,,,,,0,0,FALSE,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,5,0,0,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,25,,,2025-03-19T13:34:44.272437
2025-03-19T16:26:39.641601,fast,cheap,practical,polluting,dangerous,fast,fast,ecological,safe,heavy,,,,100,bike,,,,,,,5,0,FALSE,0,0,FALSE,1,1,7,0,FALSE,0,7,0,0,0,FALSE,0,0,0,0,2,0,5,1,4,1,1,2,2,4,3,1,4,5,1,1,4,1,4,,,,25,tpu,elec,2025-03-19T16:33:14.358349
